Date,Volume
2015-03-01,13.0
2015-03-02,19.0
2015-03-03,28.0
2015-03-04,19.0
2015-03-05,24.0
2015-03-06,22.0
2015-03-07,15.0
2015-03-08,11.0
2015-03-09,11.0
2015-03-10,9.0
2015-03-11,14.0
2015-03-12,10.0
2015-03-13,13.0
2015-03-14,12.0
2015-03-15,10.0
2015-03-16,13.0
2015-03-17,9.0
2015-03-18,10.0
2015-03-19,10.0
2015-03-20,10.0
2015-03-21,11.0
2015-03-22,9.0
2015-03-23,10.0
2015-03-24,11.0
2015-03-25,12.0
2015-03-26,11.0
2015-03-27,9.0
2015-03-28,10.0
2015-03-29,10.0
2015-03-30,15.0
2015-03-31,14.0
2015-04-01,15.0
2015-04-02,15.0
2015-04-03,15.0
2015-04-04,16.0
2015-04-05,10.0
2015-04-06,9.0
2015-04-07,9.0
2015-04-08,9.0
2015-04-09,5.0
2015-04-10,8.0
2015-04-11,10.0
2015-04-12,12.0
2015-04-13,12.0
2015-04-14,12.0
2015-04-15,8.0
2015-04-16,15.0
2015-04-17,11.0
2015-04-18,10.0
2015-04-19,11.0
2015-04-20,11.0
2015-04-21,11.0
2015-04-22,11.0
2015-04-23,10.0
2015-04-24,7.0
2015-04-25,10.0
2015-04-26,12.0
2015-04-27,11.0
2015-04-28,13.0
2015-04-29,18.0
2015-04-30,18.0
2015-05-01,11.0
2015-05-02,13.0
2015-05-03,12.0
2015-05-04,16.0
2015-05-05,16.0
2015-05-06,16.0
2015-05-07,12.0
2015-05-08,16.0
2015-05-09,18.0
2015-05-10,10.0
2015-05-11,9.0
2015-05-12,7.0
2015-05-13,9.0
2015-05-14,10.0
2015-05-15,8.0
2015-05-16,5.0
2015-05-17,11.0
2015-05-18,15.0
2015-05-19,11.0
2015-05-20,16.0
2015-05-21,14.0
2015-05-22,11.0
2015-05-23,7.0
2015-05-24,10.0
2015-05-25,13.0
2015-05-26,11.0
2015-05-27,13.0
2015-05-28,10.0
2015-05-29,11.0
2015-05-30,9.0
2015-05-31,9.0
2015-06-01,8.0
2015-06-02,4.0
2015-06-03,7.0
2015-06-04,9.0
2015-06-05,8.0
2015-06-06,8.0
2015-06-07,9.0
2015-06-08,8.0
2015-06-09,10.0
2015-06-10,10.0
2015-06-11,10.0
2015-06-12,11.0
2015-06-13,11.0
2015-06-14,11.0
2015-06-15,12.0
2015-06-16,14.0
2015-06-17,9.0
2015-06-18,10.0
2015-06-19,17.0
2015-06-20,14.0
2015-06-21,10.0
2015-06-22,9.0
2015-06-23,16.0
2015-06-24,10.0
2015-06-25,12.0
