Date,Volume
2015-03-01,14.0
2015-03-02,12.0
2015-03-03,20.0
2015-03-04,10.0
2015-03-05,17.0
2015-03-06,12.0
2015-03-07,11.0
2015-03-08,13.0
2015-03-09,11.0
2015-03-10,7.0
2015-03-11,13.0
2015-03-12,9.0
2015-03-13,10.0
2015-03-14,12.0
2015-03-15,11.0
2015-03-16,8.0
2015-03-17,10.0
2015-03-18,12.0
2015-03-19,8.0
2015-03-20,9.0
2015-03-21,8.0
2015-03-22,10.0
2015-03-23,17.0
2015-03-24,19.0
2015-03-25,27.0
2015-03-26,17.0
2015-03-27,16.0
2015-03-28,16.0
2015-03-29,11.0
2015-03-30,15.0
2015-03-31,18.0
2015-04-01,17.0
2015-04-02,16.0
2015-04-03,14.0
2015-04-04,19.0
2015-04-05,11.0
2015-04-06,10.0
2015-04-07,11.0
2015-04-08,11.0
2015-04-09,10.0
2015-04-10,10.0
2015-04-11,15.0
2015-04-12,12.0
2015-04-13,11.0
2015-04-14,11.0
2015-04-15,9.0
2015-04-16,13.0
2015-04-17,9.0
2015-04-18,8.0
2015-04-19,12.0
2015-04-20,9.0
2015-04-21,15.0
2015-04-22,15.0
2015-04-23,12.0
2015-04-24,13.0
2015-04-25,10.0
2015-04-26,12.0
2015-04-27,11.0
2015-04-28,10.0
2015-04-29,12.0
2015-04-30,16.0
2015-05-01,10.0
2015-05-02,8.0
2015-05-03,12.0
2015-05-04,19.0
2015-05-05,17.0
2015-05-06,18.0
2015-05-07,14.0
2015-05-08,14.0
2015-05-09,17.0
2015-05-10,11.0
2015-05-11,9.0
2015-05-12,9.0
2015-05-13,9.0
2015-05-14,6.0
2015-05-15,10.0
2015-05-16,6.0
2015-05-17,12.0
2015-05-18,20.0
2015-05-19,12.0
2015-05-20,19.0
2015-05-21,18.0
2015-05-22,18.0
2015-05-23,11.0
2015-05-24,11.0
2015-05-25,11.0
2015-05-26,9.0
2015-05-27,12.0
2015-05-28,12.0
2015-05-29,11.0
2015-05-30,10.0
2015-05-31,11.0
2015-06-01,13.0
2015-06-02,8.0
2015-06-03,8.0
2015-06-04,12.0
2015-06-05,8.0
2015-06-06,9.0
2015-06-07,11.0
2015-06-08,15.0
2015-06-09,20.0
2015-06-10,14.0
2015-06-11,12.0
2015-06-12,14.0
2015-06-13,11.0
2015-06-14,10.0
2015-06-15,9.0
2015-06-16,9.0
2015-06-17,9.0
2015-06-18,4.0
2015-06-19,8.0
2015-06-20,8.0
2015-06-21,12.0
2015-06-22,11.0
2015-06-23,12.0
2015-06-24,12.0
2015-06-25,10.0
2015-06-26,10.0
2015-06-27,14.0
2015-06-28,12.0
2015-06-29,11.0
2015-06-30,12.0
2015-07-01,11.0
2015-07-02,9.0
2015-07-03,11.0
2015-07-04,9.0
2015-07-05,11.0
2015-07-06,10.0
2015-07-07,9.0
2015-07-08,9.0
2015-07-09,8.0
2015-07-10,9.0
2015-07-11,5.0
2015-07-12,12.0
2015-07-13,9.0
2015-07-14,9.0
2015-07-15,7.0
2015-07-16,8.0
2015-07-17,9.0
2015-07-18,10.0
2015-07-19,12.0
2015-07-20,9.0
2015-07-21,19.0
2015-07-22,17.0
2015-07-23,14.0
2015-07-24,17.0
2015-07-25,15.0
2015-07-26,11.0
2015-07-27,15.0
2015-07-28,11.0
2015-07-29,14.0
2015-07-30,14.0
2015-07-31,10.0
2015-08-01,12.0
2015-08-02,11.0
2015-08-03,18.0
2015-08-04,17.0
2015-08-05,18.0
2015-08-06,17.0
2015-08-07,12.0
2015-08-08,12.0
2015-08-09,12.0
2015-08-10,10.0
2015-08-11,10.0
2015-08-12,10.0
2015-08-13,10.0
2015-08-14,8.0
2015-08-15,9.0
2015-08-16,12.0
2015-08-17,8.0
2015-08-18,12.0
2015-08-19,12.0
2015-08-20,6.0
2015-08-21,11.0
2015-08-22,11.0
2015-08-23,10.0
2015-08-24,10.0
2015-08-25,13.0
2015-08-26,14.0
2015-08-27,14.0
2015-08-28,15.0
2015-08-29,9.0
2015-08-30,12.0
2015-08-31,11.0
2015-09-01,11.0
2015-09-02,15.0
2015-09-03,16.0
2015-09-04,11.0
2015-09-05,12.0
2015-09-06,12.0
2015-09-07,9.0
2015-09-08,8.0
2015-09-09,17.0
2015-09-10,14.0
2015-09-11,12.0
2015-09-12,12.0
2015-09-13,12.0
2015-09-14,14.0
2015-09-15,19.0
2015-09-16,18.0
2015-09-17,19.0
2015-09-18,19.0
2015-09-19,14.0
2015-09-20,13.0
2015-09-21,17.0
2015-09-22,18.0
2015-09-23,14.0
2015-09-24,18.0
2015-09-25,19.0
2015-09-26,17.0
2015-09-27,12.0
2015-09-28,11.0
2015-09-29,10.0
2015-09-30,11.0
2015-10-01,17.0
2015-10-02,10.0
2015-10-03,10.0
2015-10-04,12.0
2015-10-05,14.0
2015-10-06,18.0
2015-10-07,22.0
2015-10-08,21.0
2015-10-09,15.0
2015-10-10,23.0
2015-10-11,14.0
2015-10-12,14.0
2015-10-13,15.0
2015-10-14,14.0
2015-10-15,12.0
2015-10-16,13.0
2015-10-17,15.0
2015-10-18,13.0
2015-10-19,14.0
2015-10-20,13.0
2015-10-21,13.0
2015-10-22,13.0
2015-10-23,13.0
2015-10-24,10.0
2015-10-25,14.0
2015-10-26,13.0
2015-10-27,13.0
2015-10-28,14.0
2015-10-29,11.0
2015-10-30,13.0
2015-10-31,11.0
2015-11-01,13.0
2015-11-02,14.0
2015-11-03,14.0
2015-11-04,15.0
2015-11-05,11.0
2015-11-06,11.0
2015-11-07,9.0
2015-11-08,14.0
2015-11-09,13.0
2015-11-10,15.0
2015-11-11,14.0
2015-11-12,14.0
2015-11-13,11.0
2015-11-14,14.0
2015-11-15,14.0
2015-11-16,14.0
2015-11-17,15.0
2015-11-18,15.0
2015-11-19,12.0
2015-11-20,12.0
2015-11-21,13.0
2015-11-22,14.0
2015-11-23,17.0
2015-11-24,15.0
2015-11-25,17.0
2015-11-26,16.0
2015-11-27,14.0
2015-11-28,19.0
2015-11-29,13.0
2015-11-30,15.0
2015-12-01,16.0
2015-12-02,11.0
2015-12-03,14.0
2015-12-04,9.0
2015-12-05,12.0
2015-12-06,14.0
2015-12-07,21.0
2015-12-08,17.0
2015-12-09,16.0
2015-12-10,17.0
2015-12-11,22.0
2015-12-12,20.0
2015-12-13,13.0
2015-12-14,15.0
2015-12-15,19.0
2015-12-16,22.0
2015-12-17,11.0
2015-12-18,18.0
2015-12-19,12.0
2015-12-20,11.0
2015-12-21,11.0
2015-12-22,8.0
2015-12-23,12.0
2015-12-24,10.0
2015-12-25,14.0
2015-12-26,9.0
2015-12-27,11.0
2015-12-28,15.0
2015-12-29,11.0
2015-12-30,15.0
2015-12-31,17.0
2016-01-01,3.0
2016-01-02,3.0
2016-01-03,13.0
2016-01-04,12.0
2016-01-05,14.0
2016-01-06,10.0
2016-01-07,14.0
2016-01-08,19.0
2016-01-09,18.0
2016-01-10,12.0
2016-01-11,14.0
2016-01-12,14.0
2016-01-13,14.0
2016-01-14,17.0
2016-01-15,16.0
2016-01-16,10.0
2016-01-17,10.0
2016-01-18,11.0
2016-01-19,17.0
2016-01-20,15.0
2016-01-21,15.0
2016-01-22,13.0
2016-01-23,14.0
2016-01-24,12.0
2016-01-25,13.0
2016-01-26,14.0
2016-01-27,14.0
